"","name","deltahyp","deltafd","category","hdepth","udist"
"1","9430076C15Rik",0.230150077771296,-0.073507164814775,"outlier",8,0.231248432301147
"2","AC168977.1",-0.00404195528200846,-0.0090918822745941,"bag",231,0.0324005912819318
"3","AC189028.1",-0.0479498390470483,-0.098690207356167,"fence",72,0.075729288310866
"4","Ahctf1",-0.00209487601287566,-0.014613741971034,"bag",258,0.0266567586479366
"5","Ahr",0.00597723007399838,-0.00939210395578199,"bag",220,0.0320354134893681
"6","Ahrr",0.00597723007399838,-0.00939210395578199,"bag",220,0.0320354134893681
"7","Alx1",-0.0675648707924908,-0.163081784026793,"outlier",29,0.140051665591206
"8","Alx3",-0.0928049629209016,-0.2215384276965,"outlier",1,0.203480877516443
"9","Alx4",-0.0547725285161255,-0.147787276732687,"outlier",44,0.120501917904962
"10","Ar",0.000377548707240781,0.026708184249807,"fence",32,0.0677805784543651
"11","Arid2",0.00596468996458589,0.00693580480718491,"bag",125,0.0482403960426584
"12","Arid3a",-0.031799124283351,-0.0281266316860713,"bag",161,0.0354349482630808
"13","Arid3b",-0.062466942998685,-0.124969653577824,"fence",50,0.105316428562932
"14","Arid3c",-0.031799124283351,-0.0281266316860713,"bag",161,0.0354349482630808
"15","Arid5a",-0.0207537267702287,0.00784945857384001,"bag",96,0.0536127279119631
"16","Arid5b",0.0383291463552783,-0.01001959221946,"bag",87,0.0484088830403195
"17","Arnt",0.0440850152202504,-0.057181839132875,"bag",87,0.0458235861247238
"18","Arnt2",0.0841610549267822,-0.06158077543925,"outlier",28,0.0854709033708121
"19","Arntl",0.062609770685959,-0.0683783521838539,"fence",52,0.0672196449912637
"20","Arx",-0.0675648707924908,-0.163081784026793,"outlier",29,0.140051665591206
"21","Ascl2",-0.0249927790350322,0.0251245033109137,"fence",34,0.0711817023892694
"22","Atf1",0.044718042687261,-0.00506237981519003,"fence",69,0.0564908213748538
"23","Atf2",0.196628063898483,-0.089727864705332,"outlier",9,0.201406402468117
"24","Atf3",0.150810186361047,-0.032423096530907,"outlier",17,0.14987142416184
"25","Atf4",0.0591503044124323,-0.000968520192216021,"fence",44,0.0704806997836811
"26","Atf6",0.143990924387936,-0.0776600468033671,"outlier",17,0.147416446519804
"27","Atf6b",0.143990924387936,-0.0776600468033671,"outlier",17,0.147416446519804
"28","Atf7",0.198685597704003,-0.082058136651506,"outlier",11,0.201706277185995
"29","Atoh1",0.0649583394400461,0.000752262005923987,"outlier",36,0.0762595424331386
"30","Atoh8",-0.00773363947211237,-0.00590335063186399,"bag",199,0.0362783834222061
"31","Bach1",0.408317192626981,-0.046090244318779,"outlier",2,0.407159901737485
"32","Bach2",0.379710710000061,-0.040703459713802,"outlier",3,0.378522613184131
"33","Barhl1",-0.0342781814504124,-0.0787368423473328,"bag",103,0.051738237688799
"34","Barhl2",-0.0460218631059135,-0.0959182922607108,"fence",77,0.0723698920040246
"35","Barx1",-0.0264494652338728,-0.0717272835176886,"bag",136,0.0412778881472742
