"ID","chrom.","start","end","MaxD","AveD","Zscore","pvalue"
1,"chr1",3671476,3671975,0,0,0,0
2,"chr1",6188484,6188983,0,0,0,0
3,"chr1",6193453,6193952,0,0,0,0
4,"chr1",6213107,6213606,0,0,0,0
5,"chr1",6260222,6260721,0,0,0,0
6,"chr1",6260883,6261382,0,0,0,0
7,"chr1",6262587,6263086,0,0,0,0
8,"chr1",7044666,7045165,0,0,0,0
9,"chr1",7045233,7045732,0,0,0,0
10,"chr1",7047133,7047632,0,0,0,0
11,"chr1",7050339,7050838,0,0,0,0
12,"chr1",7096097,7096596,0,0,0,0
13,"chr1",7096679,7097178,0,0,0,0
14,"chr1",7124707,7125206,0,0,0,0
15,"chr1",7133307,7133806,0,0,0,0
16,"chr1",7164347,7164846,0,0,0,0
17,"chr1",7223804,7224303,0,0,0,0
18,"chr1",7497784,7498283,0,0,0,0
19,"chr1",7510113,7510612,0,0,0,0
20,"chr1",7559202,7559701,0,0,0,0
21,"chr1",7671734,7672233,0,0,0,0
22,"chr1",8323837,8324336,0,0,0,0
23,"chr1",9541200,9541699,0,0,0,0
24,"chr1",9627270,9627769,0,0,0,0
25,"chr1",9628480,9628979,0,0,0,0
26,"chr1",9629903,9630402,0,0,0,0
27,"chr1",9630926,9631425,0,0,0,0
28,"chr1",9638844,9639343,0,0,0,0
29,"chr1",9640152,9640651,0,0,0,0
30,"chr1",9660550,9661049,0,0,0,0
31,"chr1",9661132,9661631,0,0,0,0
32,"chr1",9747433,9747932,0,0,0,0
33,"chr1",9802680,9803179,0,0,0,0
34,"chr1",9947589,9948088,0,0,0,0
35,"chr1",10036986,10037485,0,0,0,0
36,"chr1",10105862,10106361,0,0,0,0
37,"chr1",10106458,10106957,0,0,0,0
38,"chr1",10106975,10107474,0,0,0,0
39,"chr1",10255511,10256010,0,0,0,0
40,"chr1",10259548,10260047,0,0,0,0
41,"chr1",10300310,10300809,0,0,0,0
42,"chr1",10544707,10545206,0,0,0,0
43,"chr1",10600920,10601419,0,0,0,0
44,"chr1",10601441,10601940,0,0,0,0
45,"chr1",10603158,10603657,0,0,0,0
46,"chr1",10689359,10689858,0,0,0,0
47,"chr1",10770797,10771296,0,0,0,0
48,"chr1",12868481,12868980,0,0,0,0
49,"chr1",12991977,12992476,0,0,0,0
50,"chr1",13004878,13005377,0,0,0,0
51,"chr1",13242761,13243260,0,0,0,0
52,"chr1",13266254,13266753,0,0,0,0
53,"chr1",13301489,13301988,0,0,0,0
54,"chr1",13302037,13302536,0,0,0,0
55,"chr1",13305428,13305927,0,0,0,0
