SNP	Chrom	BP
rs10923931	chr1	120517959
rs56302051	chr1	120519618
rs2793831	chr1	120523902
rs1493694	chr1	120526982
rs2453040	chr1	120529750
rs16858825	chr1	233325832
rs10910113	chr1	233328090
rs12025630	chr1	233332833
rs12036421	chr1	233333373
rs12029164	chr1	233333585
rs150937899	chr1	233333837
rs76481291	chr1	233336298
rs12027542	chr1	233340154
rs79670733	chr1	233343493
rs4649445	chr1	233343950
rs243024	chr2	60583665
rs243021	chr2	60584819
rs243020	chr2	60585028
rs243019	chr2	60585806
rs243018	chr2	60586707
rs998451	chr2	135429288
rs10171677	chr2	135446390
rs10928513	chr2	135456759
rs6723108	chr2	135479980
rs6756200	chr2	135481278
rs1942055	chr2	135498924
rs7560163	chr2	151637936
rs10929978	chr2	161169956
rs6718070	chr2	161170153
rs7593730	chr2	161171454
rs4335904	chr2	161171842
rs4589705	chr2	161176136
rs4632293	chr2	161176379
rs12622664	chr2	161179356
rs6706545	chr2	161181478
rs4410242	chr2	161192070
rs10209870	chr2	161192545
rs12476804	chr2	161194255
rs1110209	chr2	161199498
rs4452095	chr2	161200221
rs10168504	chr2	161202588
rs3923113	chr2	165501849
rs12692735	chr2	165504565
rs10930133	chr2	165506724
rs6754919	chr2	165507843
rs6713419	chr2	165508300
rs10179126	chr2	165511794
rs36105243	chr2	165524751
rs7592412	chr2	165526338
rs13432797	chr2	165526587
rs10187501	chr2	165532454
rs7578326	chr2	227020653
rs13388242	chr2	227020853
rs13405357	chr2	227022036
rs74280642	chr3	12262934
rs35146940	chr3	12271287
rs13088452	chr3	12274961
rs13066157	chr3	12274994
rs13071168	chr3	12275447
rs11709119	chr3	12276493
rs34215902	chr3	12277652
rs17036101	chr3	12277845
rs11715362	chr3	12278464
rs11719082	chr3	12278528
rs35551471	chr3	12279209
rs67201468	chr3	12280006
rs17036130	chr3	12288288
rs13081389	chr3	12289800
rs7628899	chr3	12290513
rs1596417	chr3	12290898
rs34881099	chr3	12291502
rs35577339	chr3	12296346
rs71304095	chr3	12296513
rs35252428	chr3	12297153
rs35316189	chr3	12298567
rs35099296	chr3	12298638
rs71304096	chr3	12299365
rs71304097	chr3	12299615
rs35877199	chr3	12299660
rs35057507	chr3	12299722
rs13067702	chr3	12299945
rs34685612	chr3	12299983
rs71304098	chr3	12300058
rs13088608	chr3	12301116
rs13089415	chr3	12301360
rs6771792	chr3	12301472
rs34430055	chr3	12301571
rs35541642	chr3	12302262
rs35837	chr3	64013249
rs35839	chr3	64013417
rs831571	chr3	64048297
rs17069791	chr3	64052279
rs166230	chr3	64053207
rs56363381	chr3	64056677
rs6797912	chr3	64058240
rs4128353	chr3	64698813
rs4615073	chr3	64701436
rs67311847	chr3	64704322
rs67701463	chr3	64705108
rs6770866	chr3	64705181
rs4324463	chr3	64708628
rs4607103	chr3	64711904
rs6445424	chr3	64717575
rs2194091	chr3	64725485
rs6793651	chr3	64729712
rs7638389	chr3	64729892
rs11708067	chr3	123065778
rs11719201	chr3	123068744
rs11720108	chr3	123069058
rs7614016	chr3	123070426
rs7613951	chr3	123070517
rs11717195	chr3	123082398
rs35841686	chr3	123087916
rs34970607	chr3	123090360
rs6786649	chr3	185514223
rs7646518	chr3	185514931
rs11716713	chr3	185515610
rs7637773	chr3	185515635
rs4686696	chr3	185516520
rs11928319	chr3	185518241
rs7633811	chr3	185519848
rs10544430	chr3	185520022
rs10428126	chr3	185520342
rs7646519	chr3	185523853
rs73063004	chr3	185526345
rs11711477	chr3	185526690
rs1470579	chr3	185529080
rs1470580	chr3	185529174
rs6769511	chr3	185530290
rs9859406	chr3	185534482
rs16861317	chr3	186664728
rs3852060	chr3	186665539
rs78117380	chr3	186666084
rs16861329	chr3	186666461
rs59322089	chr3	186669296
rs3954169	chr3	186671978
rs9798820	chr3	186676482
rs2293632	chr4	1291478
rs74996554	chr4	1291970
rs143419094	chr4	1292656
rs12503555	chr4	1294368
rs11936387	chr4	1294846
rs6599297	chr4	1295571
rs4974547	chr4	1298188
rs4974592	chr4	1298395
rs4974593	chr4	1298623
rs7696746	chr4	1299221
rs74478546	chr4	1299470
rs4974595	chr4	1301001
rs17164620	chr4	1304161
rs7672093	chr4	1304743
rs11247988	chr4	1308329
rs11247991	chr4	1308564
rs2272481	chr4	1309416
rs6815464	chr4	1309901
rs1801214	chr4	6303022
rs4457053	chr5	76424949
rs4457054	chr5	76425060
rs7708285	chr5	76425867
rs6878122	chr5	76427311
rs7732130	chr5	76435004
rs113449211	chr5	155385906
rs2033455	chr5	155388890
rs17053082	chr5	155394230
rs200311798	chr5	155402617
rs112222682	chr5	155402935
rs1019921	chr5	155412309
rs735331	chr5	155413224
rs7451008	chr6	20673880
rs35261542	chr6	20675792
rs34499031	chr6	20676414
rs7756992	chr6	20679709
rs9348441	chr6	20680678
rs7766070	chr6	20686573
rs9368222	chr6	20686996
rs10440833	chr6	20688121
rs9470794	chr6	38106844
rs10947804	chr6	39282036
rs12663159	chr6	39282277
rs34247110	chr6	39282371
rs11756070	chr6	39282748
rs11756091	chr6	39282806
rs11753141	chr6	39283083
rs2146262	chr6	39283793
rs1535500	chr6	39284050
rs3734618	chr6	39284184
rs35099099	chr6	39284857
rs702814	chr7	28172732
rs199672766	chr7	28174263
rs849138	chr7	28177338
rs34844509	chr7	28178625
rs864745	chr7	28180556
rs849142	chr7	28185891
rs145505196	chr7	28186775
rs1635852	chr7	28189411
rs849133	chr7	28192280
rs860262	chr7	28194397
rs849134	chr7	28196222
rs849135	chr7	28196413
rs1708302	chr7	28198677
rs1513272	chr7	28200097
rs6467136	chr7	127164958
rs10269701	chr7	127166578
rs3996352	chr7	130444934
rs13240528	chr7	130445128
rs17789506	chr7	130445574
rs35712907	chr7	130445847
rs11765979	chr7	130445877
rs34748838	chr7	130459242
rs35964477	chr7	130461858
rs6467315	chr7	130463192
rs10954284	chr7	130463758
rs972283	chr7	130466854
rs516946	chr8	41519248
rs515071	chr8	41519462
rs508419	chr8	41522991
rs9694034	chr8	41523358
rs6989203	chr8	41523745
rs11354309	chr8	41523759
rs28591316	chr8	41524425
rs28602970	chr8	41524505
rs35273426	chr8	41524688
rs10109812	chr8	41524899
rs750625	chr8	41525914
rs3802315	chr8	41528178
rs3802316	chr8	41528228
rs896854	chr8	95960511
rs13266634	chr8	118184783
rs3802177	chr8	118185025
rs11558471	chr8	118185733
rs35859536	chr8	118191475
rs9650069	chr8	118204020
rs4380994	chr9	4282536
rs10974435	chr9	4283682
rs57884925	chr9	4285119
rs10758591	chr9	4285986
rs7024686	chr9	4287211
rs7041847	chr9	4287466
rs7034200	chr9	4289050
rs10814914	chr9	4289196
rs7020673	chr9	4291747
rs7867224	chr9	4292152
rs4339696	chr9	4295880
rs10814917	chr9	4296430
rs12555283	chr9	8872771
rs12555691	chr9	8877009
rs17584499	chr9	8879118
